Age,Gender,Job_Role,Working_Hours_Per_Day,Number_of_Projects,Sleep_Hours,Work_Life_Balance_Score,Stress_Level,Overtime_Hours,Years_of_Experience,Satisfaction_Level,Remote_or_Onsite,Burnout_Risk
45,Male,Marketing Executive,10.1,7,7.0,6.5,3.1,6.1,20.9,6.3,Hybrid,Medium
39,Female,Designer,8.0,1,7.3,8.3,1.4,3.1,13.4,9.0,Hybrid,Medium
58,Male,Data Analyst,6.5,1,7.0,10.0,1.0,0.0,21.6,10.0,Remote,Low
50,Male,Data Analyst,4.0,2,9.4,9.4,1.0,0.0,25.3,10.0,Hybrid,Low
29,Female,Finance Analyst,10.7,6,7.7,7.8,2.2,3.2,2.0,8.2,Onsite,Medium
26,Female,Sales Executive,7.6,7,7.9,10.0,1.0,0.0,2.9,9.5,Remote,Low
40,Female,Product Manager,8.3,2,9.0,10.0,1.0,0.0,12.6,9.7,Hybrid,Low
30,Female,Designer,7.7,2,6.0,9.0,2.5,1.2,6.1,10.0,Remote,Low
58,Female,HR Specialist,6.8,1,9.5,8.3,1.0,0.0,19.0,9.1,Remote,Medium
43,Female,Software Engineer,6.5,4,8.6,8.4,1.7,0.0,16.4,10.0,Hybrid,Low
25,Male,Designer,4.0,2,8.3,10.0,2.8,0.0,1.3,10.0,Hybrid,Low
55,Male,Designer,6.7,4,8.2,10.0,1.0,0.0,17.2,10.0,Remote,Low
39,Female,Sales Executive,8.2,2,9.5,10.0,1.0,0.2,9.6,10.0,Remote,Low
32,Female,Finance Analyst,5.4,5,7.2,10.0,1.9,0.0,4.3,9.1,Onsite,Medium
46,Male,Marketing Executive,9.0,1,6.9,7.9,1.2,3.1,11.1,9.0,Onsite,Medium
28,Male,Finance Analyst,5.7,4,8.2,10.0,1.0,0.0,2.3,10.0,Remote,Low
44,Female,Sales Executive,9.2,3,7.6,7.3,2.1,2.4,5.6,9.7,Hybrid,Medium
23,Male,Product Manager,9.3,4,7.3,9.8,3.2,2.9,1.1,10.0,Onsite,Medium
59,Male,HR Specialist,7.7,3,9.1,10.0,1.9,0.6,11.9,10.0,Onsite,Low
24,Female,HR Specialist,5.7,2,7.4,8.4,1.0,0.0,1.6,7.4,Remote,Low
21,Male,Finance Analyst,9.4,4,7.0,7.7,4.3,5.5,0.0,7.6,Remote,High
31,Female,Customer Support,10.2,5,7.7,7.4,4.3,5.7,8.2,7.7,Onsite,Medium
43,Male,Data Analyst,9.4,4,7.4,8.1,2.7,5.8,14.9,10.0,Remote,Medium
52,Female,HR Specialist,6.3,7,9.5,10.0,1.0,0.0,24.5,10.0,Remote,Low
27,Male,Data Analyst,8.7,1,8.5,8.4,1.0,0.0,4.7,10.0,Hybrid,Low
46,Female,Product Manager,6.5,2,8.1,9.2,1.0,0.0,9.3,9.6,Onsite,Low
36,Male,Data Analyst,10.0,1,7.7,7.8,2.4,4.5,6.3,8.2,Remote,Medium
56,Female,Operations Manager,11.6,3,6.6,6.8,4.6,8.6,26.5,9.6,Remote,High
59,Male,Finance Analyst,11.4,2,7.0,5.6,3.8,8.0,23.9,8.3,Onsite,Medium
40,Male,Software Engineer,8.2,2,8.2,8.2,1.0,0.0,8.9,9.3,Remote,Low
49,Male,Product Manager,5.5,4,9.3,7.4,1.2,0.0,12.1,7.8,Hybrid,Medium
48,Female,Finance Analyst,10.5,3,9.3,7.8,1.0,2.9,7.7,9.9,Remote,Low
33,Female,Sales Executive,11.8,1,5.7,4.2,4.5,11.7,5.5,6.0,Onsite,High
40,Male,Data Analyst,10.4,2,7.8,6.6,5.2,6.6,9.8,8.5,Hybrid,Medium
41,Male,Software Engineer,9.8,5,6.6,6.8,1.0,4.1,7.3,8.2,Remote,Medium
27,Male,Designer,10.2,4,6.3,4.9,2.5,6.8,4.6,7.2,Onsite,High
21,Female,Marketing Executive,10.5,4,6.3,6.3,1.0,5.0,0.0,8.2,Remote,Medium
58,Female,Product Manager,9.2,2,8.0,7.7,1.0,3.4,8.5,7.9,Onsite,Low
41,Female,Designer,8.4,2,9.1,9.2,1.0,0.0,8.8,9.4,Hybrid,Low
46,Female,Marketing Executive,8.7,3,8.0,10.0,1.0,0.0,20.4,9.7,Remote,Low
27,Female,Data Analyst,9.4,4,3.2,7.8,6.2,7.3,1.3,8.7,Onsite,High
34,Other,Product Manager,10.1,3,4.9,6.1,4.8,7.5,11.3,7.2,Hybrid,High
48,Female,Designer,11.1,4,6.1,7.2,2.9,4.4,8.9,10.0,Onsite,Medium
30,Female,HR Specialist,4.9,4,7.6,10.0,2.5,0.0,5.7,9.0,Onsite,Low
54,Female,Operations Manager,6.2,1,9.5,9.9,1.0,0.0,14.5,10.0,Remote,Medium
22,Male,Software Engineer,11.8,7,5.7,4.7,7.3,10.7,0.2,6.0,Onsite,High
28,Male,Customer Support,6.6,1,7.7,9.2,1.2,0.0,4.1,10.0,Remote,Low
50,Female,HR Specialist,9.5,1,7.3,7.0,1.0,4.4,11.5,8.8,Onsite,Low
51,Female,Marketing Executive,9.6,4,5.3,5.4,3.5,8.5,12.1,8.0,Remote,High
24,Female,Marketing Executive,8.0,7,7.5,9.6,1.7,0.0,0.9,9.5,Hybrid,Low
48,Male,Data Analyst,7.1,2,7.7,9.5,1.0,0.0,7.8,8.5,Hybrid,Low
48,Female,HR Specialist,11.9,3,6.6,6.0,4.9,9.1,13.4,8.0,Onsite,High
26,Male,Customer Support,7.5,3,7.5,8.8,1.0,0.0,1.1,10.0,Onsite,Medium
38,Female,Customer Support,7.3,1,8.0,10.0,1.0,0.0,8.7,10.0,Onsite,Low
47,Female,Customer Support,7.6,3,8.5,10.0,1.4,0.0,20.9,10.0,Remote,Low
50,Female,HR Specialist,12.0,3,5.1,1.8,6.6,14.2,9.5,5.1,Onsite,High
27,Female,Sales Executive,7.7,3,7.0,9.6,1.0,0.0,3.4,10.0,Remote,Low
45,Male,Product Manager,5.0,1,9.5,9.7,1.0,0.0,11.3,10.0,Remote,Low
25,Female,Product Manager,10.5,4,4.8,4.1,4.3,9.2,3.0,7.6,Hybrid,High
44,Male,Customer Support,12.4,5,3.8,3.4,7.6,9.8,11.3,3.8,Remote,High
40,Female,Product Manager,7.6,5,6.6,9.0,3.6,1.8,14.2,8.7,Remote,Medium
25,Female,Marketing Executive,10.3,1,5.1,7.4,5.2,7.1,1.3,8.9,Hybrid,High
44,Female,Finance Analyst,6.6,1,9.5,10.0,1.0,0.0,9.9,10.0,Remote,Low
35,Female,Operations Manager,7.8,2,9.4,10.0,1.0,0.0,5.9,10.0,Remote,Medium
51,Male,HR Specialist,9.8,4,6.5,6.7,3.9,6.0,19.2,8.9,Onsite,High
28,Male,Designer,6.8,2,4.4,8.8,1.6,0.0,6.3,10.0,Hybrid,Medium
41,Male,Software Engineer,5.4,5,8.1,9.7,2.2,0.0,15.1,8.9,Hybrid,Low
46,Male,Product Manager,9.7,2,7.7,6.9,2.8,3.9,5.3,8.2,Onsite,Medium
39,Male,Customer Support,9.2,3,8.0,7.5,1.9,3.1,7.0,8.6,Onsite,Low
21,Male,Designer,4.7,2,9.0,8.7,1.0,0.0,0.0,10.0,Hybrid,Low
43,Male,Sales Executive,10.5,4,6.1,8.8,3.0,5.3,5.8,9.2,Hybrid,Low
48,Male,Data Analyst,8.9,7,8.2,9.0,2.3,0.0,22.0,10.0,Onsite,Low
28,Female,Data Analyst,9.2,4,7.9,8.7,1.0,2.3,3.0,8.9,Onsite,Low
57,Male,Product Manager,5.0,4,8.7,10.0,1.0,0.0,27.2,10.0,Hybrid,Low
23,Female,Finance Analyst,6.4,4,8.7,10.0,1.0,0.0,1.4,10.0,Onsite,Low
30,Female,Operations Manager,10.5,2,7.0,7.3,4.0,6.9,7.4,7.3,Onsite,Medium
55,Male,Software Engineer,8.5,1,7.7,8.7,1.0,0.0,15.1,8.4,Onsite,Medium
58,Male,Designer,7.6,3,7.8,9.8,2.0,0.0,23.5,10.0,Hybrid,Low
23,Female,Marketing Executive,9.7,1,6.5,5.4,1.0,6.7,1.7,7.6,Hybrid,High
36,Female,Customer Support,9.1,3,7.6,10.0,1.0,1.5,9.3,10.0,Hybrid,Low
27,Male,Customer Support,6.0,4,8.3,10.0,1.2,0.0,4.2,10.0,Remote,Low
25,Other,Data Analyst,14.0,3,4.9,3.4,4.4,11.1,1.1,6.5,Onsite,High
21,Male,Product Manager,8.5,2,8.3,10.0,1.0,0.8,0.0,9.5,Onsite,Low
40,Female,Sales Executive,7.8,4,8.2,9.6,1.9,0.0,7.1,9.8,Hybrid,Low
30,Other,Customer Support,6.3,2,8.4,9.4,1.0,0.0,5.0,8.8,Hybrid,Low
45,Female,Finance Analyst,7.6,2,9.5,10.0,1.0,0.0,12.4,10.0,Onsite,Low
51,Male,Designer,8.3,2,5.4,9.3,1.1,0.0,26.5,10.0,Hybrid,Medium
27,Female,Designer,7.3,3,8.7,9.7,1.0,0.0,4.0,10.0,Onsite,Low
52,Male,Customer Support,8.2,2,8.8,10.0,1.0,0.0,8.3,9.7,Onsite,Low
41,Female,Data Analyst,8.5,5,7.6,8.7,2.8,0.0,17.2,9.4,Hybrid,Medium
54,Female,Designer,5.9,3,8.2,10.0,1.0,0.0,20.5,8.9,Remote,Low
46,Male,Marketing Executive,8.2,4,8.0,8.2,1.0,0.7,21.6,9.6,Hybrid,Medium
32,Male,Marketing Executive,7.6,2,8.1,9.3,1.0,0.0,2.6,9.9,Hybrid,Low
46,Male,Operations Manager,6.3,4,7.8,9.9,1.9,0.0,10.6,10.0,Remote,Low
43,Male,Customer Support,10.9,3,6.2,6.6,1.9,7.1,16.6,10.0,Remote,Medium
39,Male,HR Specialist,6.6,1,7.9,10.0,1.0,0.0,9.7,10.0,Remote,Low
47,Female,Product Manager,11.3,1,4.5,4.6,4.6,12.1,18.3,4.7,Hybrid,High
47,Female,HR Specialist,6.4,1,9.5,10.0,1.0,0.0,15.3,9.5,Hybrid,Low
34,Male,Designer,7.3,4,6.7,9.9,1.0,0.0,9.8,10.0,Remote,Low
51,Male,Customer Support,8.2,4,6.8,9.6,1.6,0.0,8.9,9.0,Onsite,Medium
31,Male,Designer,8.0,6,7.2,10.0,1.0,2.9,8.5,10.0,Hybrid,Low
51,Male,Data Analyst,10.3,4,5.8,7.2,1.9,5.8,24.3,9.3,Hybrid,Medium
38,Male,Data Analyst,8.4,2,8.4,9.6,1.0,0.0,13.0,8.7,Onsite,Low
58,Male,Operations Manager,5.5,1,8.4,9.2,1.0,0.0,17.5,8.1,Onsite,Low
40,Male,Marketing Executive,10.3,4,7.4,6.9,2.6,5.8,16.7,8.6,Remote,Medium
34,Female,Operations Manager,6.3,2,7.8,,1.0,0.0,3.7,10.0,Hybrid,Low
45,Male,Marketing Executive,10.5,3,5.2,6.3,3.5,6.7,13.8,9.4,Hybrid,Medium
56,Female,Software Engineer,8.1,3,7.6,8.2,1.0,0.0,23.1,10.0,Hybrid,Low
35,Male,Marketing Executive,8.7,4,7.7,7.9,1.1,2.2,8.7,8.5,Remote,Low
28,Male,Designer,9.8,2,8.4,8.4,1.0,0.0,2.7,8.1,Hybrid,Low
43,Male,Product Manager,10.7,5,6.6,9.2,3.5,5.0,16.5,7.3,Onsite,Medium
58,Male,HR Specialist,8.3,1,8.2,10.0,1.0,0.0,25.2,10.0,Onsite,Low
46,Male,HR Specialist,5.9,3,9.5,9.2,1.8,0.0,22.3,9.5,Onsite,Low
46,Male,Product Manager,6.2,5,9.5,10.0,1.0,0.0,11.3,10.0,Remote,Low
58,Female,Operations Manager,7.2,3,7.4,9.7,2.0,0.0,15.0,6.9,Onsite,Low
40,Male,Designer,6.5,6,7.4,8.4,2.2,0.0,6.4,9.0,Onsite,Low
35,Other,HR Specialist,5.0,2,7.0,10.0,1.3,0.0,12.2,10.0,Hybrid,Low
45,Male,Customer Support,9.2,4,6.0,7.3,3.8,4.3,6.4,9.6,Remote,High
58,Female,Customer Support,7.6,3,9.5,8.6,1.0,1.5,20.0,9.0,Hybrid,Medium
59,Female,Sales Executive,9.8,4,6.2,6.2,5.9,7.2,17.8,6.5,Remote,High
33,Female,Customer Support,11.5,1,4.9,3.3,4.0,9.1,10.6,6.5,Remote,High
31,Other,Product Manager,9.5,2,7.2,6.7,1.0,3.2,5.4,9.3,Hybrid,Low
29,Male,Designer,6.5,2,8.0,8.5,1.3,0.0,4.5,9.4,Hybrid,Low
54,Male,Customer Support,8.9,1,6.7,9.5,1.4,3.2,15.0,10.0,Hybrid,Low
39,Male,Product Manager,7.3,5,8.8,9.6,4.9,0.0,14.8,8.1,Remote,Medium
57,Female,Finance Analyst,5.3,3,8.1,9.4,1.0,0.0,10.4,9.6,Hybrid,Low
33,Male,Marketing Executive,7.3,4,8.2,10.0,1.0,0.0,6.7,10.0,Hybrid,Low
38,Male,Customer Support,7.3,3,8.2,8.4,1.0,0.0,5.5,10.0,Hybrid,Low
32,Male,Operations Manager,9.2,3,7.6,10.0,1.0,1.1,4.2,9.0,Remote,Low
27,Male,Operations Manager,7.5,6,9.0,8.4,1.3,0.0,3.0,10.0,Onsite,Low
30,Female,Customer Support,8.4,3,8.9,9.5,1.0,0.5,5.7,10.0,Onsite,Low
40,Female,Product Manager,8.9,1,6.2,8.2,1.2,2.4,16.5,9.0,Onsite,Medium
41,Female,Marketing Executive,9.5,4,6.8,8.0,1.8,1.0,11.7,8.1,Onsite,Medium
30,Male,HR Specialist,10.4,5,5.4,5.7,4.5,5.8,2.1,7.6,Onsite,High
36,Male,Finance Analyst,8.7,7,7.4,8.6,5.3,4.2,7.2,10.0,Remote,Medium
23,Male,Finance Analyst,8.8,3,5.9,8.1,2.2,3.8,1.2,9.5,Remote,Medium
21,Male,Sales Executive,4.0,3,7.4,8.4,1.0,0.0,0.0,8.0,Hybrid,Medium
53,Male,Sales Executive,6.7,1,8.7,9.5,1.0,0.0,28.7,10.0,Onsite,Low
41,Female,HR Specialist,5.3,3,7.6,7.9,1.0,0.0,17.8,9.8,Remote,Low
25,Male,Data Analyst,10.1,7,5.6,7.2,6.3,7.1,1.7,7.8,Remote,High
32,Female,Designer,10.1,3,6.1,5.6,3.4,7.1,5.8,7.9,Hybrid,Medium
39,Male,Software Engineer,7.9,1,8.6,9.3,1.0,0.0,8.4,10.0,Hybrid,Low
40,Male,Marketing Executive,10.7,4,4.3,6.3,7.1,10.2,6.5,8.4,Onsite,High
56,Female,Finance Analyst,7.1,4,6.2,8.3,3.0,0.0,30.2,8.5,Remote,Medium
41,Male,Product Manager,7.5,3,7.9,10.0,2.6,0.0,6.3,9.9,Onsite,Low
21,Male,Designer,6.1,3,8.6,10.0,1.0,0.0,0.0,10.0,Hybrid,Low
28,Female,Finance Analyst,5.0,1,7.7,9.8,1.0,0.0,3.2,10.0,Hybrid,Low
25,Male,Customer Support,8.1,4,8.0,10.0,1.0,0.0,3.5,10.0,Remote,Low
35,Female,Designer,7.2,8,6.9,10.0,6.3,0.0,6.6,9.2,Hybrid,Medium
51,Female,Finance Analyst,10.3,1,6.1,5.6,3.6,9.3,25.1,7.9,Hybrid,Medium
50,Male,Data Analyst,7.7,1,8.0,10.0,1.0,0.0,12.9,10.0,Hybrid,Low
34,Male,Operations Manager,7.7,5,7.7,10.0,1.0,0.0,4.1,10.0,Onsite,Low
51,Male,Data Analyst,9.4,5,8.5,7.6,1.0,2.9,16.5,9.7,Remote,Low
59,Male,Customer Support,6.9,3,8.3,10.0,1.0,0.0,22.0,10.0,Remote,Low
31,Female,Software Engineer,8.6,4,8.3,9.9,1.0,3.1,4.9,10.0,Onsite,Low
37,Female,Finance Analyst,4.7,3,8.1,8.2,1.5,0.0,7.6,9.0,Remote,Low
42,Other,Data Analyst,10.6,2,6.8,6.5,2.5,4.5,12.9,9.0,Onsite,Medium
46,Female,Sales Executive,10.1,5,7.7,8.0,4.2,6.2,8.7,9.7,Remote,Medium
21,Female,Product Manager,7.2,1,7.5,10.0,1.0,0.0,0.0,10.0,Hybrid,Low
39,Male,Product Manager,7.3,5,8.8,9.6,4.9,0.0,14.8,8.1,Remote,Medium
56,Male,Sales Executive,10.5,3,8.3,7.8,1.0,6.4,15.8,9.1,Hybrid,Low
22,Female,HR Specialist,5.7,3,6.9,10.0,1.8,0.0,0.4,10.0,Onsite,Low
35,Male,HR Specialist,12.1,3,6.4,3.7,5.5,9.8,4.6,7.4,Hybrid,High
34,Male,Sales Executive,8.2,4,8.9,10.0,1.0,1.7,4.9,10.0,Remote,Low
24,Male,Product Manager,8.0,2,8.8,10.0,1.0,0.0,2.3,9.7,Onsite,Low
28,Female,Marketing Executive,6.7,3,6.9,10.0,1.8,0.0,5.7,9.6,Onsite,Low
28,Male,Data Analyst,8.7,3,7.6,8.3,1.0,0.0,4.2,10.0,Remote,Low
38,Female,Customer Support,8.6,1,8.3,9.6,1.0,0.0,3.7,10.0,Onsite,Low
50,Female,Designer,5.9,6,8.5,10.0,1.0,0.0,24.8,10.0,Remote,Low
57,Other,Data Analyst,5.5,1,9.4,10.0,1.0,0.0,18.7,10.0,Onsite,Low
33,Male,Data Analyst,8.4,2,6.2,10.0,1.5,0.0,7.4,9.5,Onsite,Low
41,Male,Finance Analyst,7.1,1,7.9,9.2,1.0,0.0,4.5,9.6,Onsite,Low
43,Male,Finance Analyst,8.2,5,7.2,10.0,4.2,0.8,11.1,9.5,Remote,Medium
55,Female,HR Specialist,7.6,3,9.0,9.6,1.0,0.0,17.5,10.0,Onsite,Low
57,Male,HR Specialist,8.9,3,7.0,8.2,3.3,3.6,23.4,9.2,Onsite,Medium
42,Female,Marketing Executive,9.1,3,6.3,9.2,2.4,3.6,6.2,9.8,Hybrid,Medium
21,Male,Marketing Executive,10.9,2,8.4,6.6,1.0,8.8,0.0,6.9,Onsite,Medium
32,Female,Software Engineer,10.3,5,7.3,7.5,4.7,4.4,5.4,9.4,Onsite,High
25,Female,Customer Support,7.0,3,9.1,10.0,1.8,0.0,1.2,9.0,Hybrid,Low
32,Female,Data Analyst,8.0,3,6.9,7.6,1.3,3.9,6.2,10.0,Remote,Medium
40,Female,Designer,11.1,4,4.8,7.7,5.7,8.9,6.3,7.3,Onsite,High
35,Male,HR Specialist,10.2,4,4.9,6.2,5.2,7.7,5.0,6.2,Hybrid,High
36,Male,Data Analyst,7.7,1,9.0,10.0,1.0,0.0,9.0,10.0,Onsite,Low
31,Male,Product Manager,8.5,1,7.5,10.0,1.0,0.0,6.2,10.0,Hybrid,Low
48,Female,Operations Manager,13.2,3,3.7,1.5,7.9,17.3,14.2,2.9,Onsite,High
51,Female,Software Engineer,4.2,1,9.1,10.0,1.0,0.0,18.5,10.0,Onsite,Low
52,Other,Product Manager,6.4,6,7.8,10.0,2.4,0.0,13.3,8.0,Onsite,Medium
47,Female,Operations Manager,9.1,4,7.9,8.3,1.0,3.7,14.8,10.0,Onsite,Low
54,Male,Finance Analyst,5.4,2,7.8,8.3,1.0,0.0,21.7,8.8,Onsite,Medium
23,Female,Marketing Executive,9.5,3,7.7,10.0,3.0,1.1,1.2,10.0,Remote,Medium
52,Male,Product Manager,8.0,3,8.8,8.2,1.8,0.0,13.9,9.5,Remote,Low
49,Male,Finance Analyst,5.8,1,8.5,10.0,1.0,0.0,13.0,10.0,Remote,Low
38,Female,Software Engineer,5.7,5,8.5,10.0,1.0,0.0,6.5,10.0,Remote,Low
43,Female,Finance Analyst,7.4,2,7.2,10.0,1.8,0.0,7.0,9.6,Onsite,Low
42,Female,Software Engineer,11.7,4,7.2,5.8,2.4,9.7,8.4,8.0,Remote,Medium
44,Female,Finance Analyst,9.4,5,6.0,8.1,5.2,2.9,18.5,8.8,Onsite,High
26,Female,Sales Executive,6.8,4,8.9,10.0,1.0,0.0,4.2,10.0,Hybrid,Low
39,Male,Customer Support,8.4,3,8.5,10.0,1.0,0.6,3.9,9.1,Remote,Low
30,Female,Product Manager,7.9,7,8.1,10.0,1.4,0.2,6.8,10.0,Onsite,Low
35,Male,HR Specialist,8.6,4,7.0,10.0,2.3,4.1,3.7,9.8,Onsite,Low
41,Male,Operations Manager,8.8,2,8.0,8.6,2.0,2.4,10.3,10.0,Remote,Medium
55,Male,Designer,9.5,2,7.9,7.3,3.0,4.3,28.6,7.9,Hybrid,High
42,Male,Designer,9.1,8,7.7,10.0,1.4,0.5,17.2,10.0,Remote,Low
54,Male,Software Engineer,10.4,2,6.5,4.5,2.1,7.4,8.1,8.6,Remote,Medium
56,Female,Data Analyst,9.1,4,8.3,9.7,1.1,0.5,16.1,8.6,Hybrid,Low
46,Male,Finance Analyst,8.7,1,7.4,9.5,1.0,0.6,21.0,10.0,Remote,Low
22,Other,Designer,8.4,1,7.3,7.0,3.9,4.1,0.3,7.9,Hybrid,Medium
25,Male,Finance Analyst,7.7,3,8.1,7.9,1.0,0.4,3.5,6.9,Hybrid,Low
28,Male,Designer,5.0,1,9.2,7.8,1.0,0.0,3.3,8.9,Onsite,Low
24,Male,HR Specialist,10.3,7,6.8,6.6,4.4,7.5,1.5,7.4,Remote,High
25,Female,Marketing Executive,10.0,1,5.6,5.8,1.8,5.5,1.9,8.0,Hybrid,Medium
29,Male,HR Specialist,9.4,6,7.4,7.0,5.1,5.7,5.3,8.7,Onsite,Medium
29,Male,Operations Manager,9.6,3,8.4,7.8,1.3,2.4,2.7,10.0,Onsite,Low
34,Female,Operations Manager,8.3,1,9.4,10.0,1.0,0.0,7.1,10.0,Onsite,Low
45,Female,HR Specialist,8.7,2,7.8,9.0,1.3,0.4,11.7,10.0,Remote,Low
44,Female,HR Specialist,6.1,3,8.2,7.5,1.0,0.0,20.2,10.0,Remote,Medium
23,Female,Operations Manager,8.3,1,7.2,10.0,1.0,3.4,0.6,10.0,Onsite,Medium
31,Female,Sales Executive,10.4,2,7.4,7.8,1.1,4.5,8.5,7.6,Hybrid,Medium
21,Male,Finance Analyst,9.0,4,8.7,9.3,1.0,1.3,0.0,10.0,Hybrid,Low
42,Male,Marketing Executive,8.6,4,7.8,10.0,1.0,0.0,9.1,10.0,Hybrid,Low
52,Female,Sales Executive,8.2,1,8.3,9.5,1.4,1.2,25.0,9.6,Remote,Low
31,Female,Product Manager,8.1,1,7.2,6.9,1.0,3.9,4.1,9.2,Hybrid,Medium
24,Male,HR Specialist,7.2,2,6.7,9.9,1.0,0.0,1.6,9.8,Remote,Medium
41,Female,Software Engineer,8.7,5,7.0,8.7,2.6,2.2,5.5,9.5,Remote,Medium
21,Female,Designer,8.3,1,7.9,10.0,1.9,0.0,0.0,10.0,Remote,Low
59,Female,Marketing Executive,9.2,2,7.4,7.4,1.3,1.4,28.7,7.9,Remote,Low
59,Male,HR Specialist,8.1,2,7.5,10.0,1.0,0.0,13.2,10.0,Remote,Low
50,Female,Designer,6.1,4,8.5,10.0,2.4,0.0,7.0,10.0,Hybrid,Low
57,Female,Designer,11.1,5,6.7,6.1,4.3,4.9,12.0,7.8,Onsite,Medium
52,Other,Operations Manager,8.6,8,9.1,8.2,1.7,1.3,19.4,10.0,Hybrid,Low
50,Female,Marketing Executive,8.4,1,9.5,9.6,1.6,2.2,25.5,10.0,Hybrid,Low
40,Male,Customer Support,4.5,4,7.9,9.7,1.0,0.0,14.6,10.0,Hybrid,Low
24,Male,Finance Analyst,5.9,2,9.3,10.0,1.0,0.0,1.5,10.0,Hybrid,Low
